"Source","Target","weight"
"Wilfrid Laurier University","UniversitÃ Laval",97
"Wilfrid Laurier University","UniversitÃ du QuÃbec â¡ Rimouski",6
"Wilfrid Laurier University","Carleton University",40
"Wilfrid Laurier University","UniversitÃ de MontrÃal",66
"Wilfrid Laurier University","McGill University",75
"Wilfrid Laurier University","Queen's University",71
"Wilfrid Laurier University","University of Alberta",102
"Wilfrid Laurier University","University of British Columbia",222
"Wilfrid Laurier University","UniversitÃ du QuÃbec â¡ Trois-RiviÃres",20
"Wilfrid Laurier University","Social Sciences and Humanities Research Council",13
"Wilfrid Laurier University","University of Calgary",175
"Wilfrid Laurier University","Ryerson University",43
"Wilfrid Laurier University","McMaster University",97
"Wilfrid Laurier University","Dalhousie University",62
"Wilfrid Laurier University","University of Lethbridge",15
"Wilfrid Laurier University","University of Windsor",85
"Wilfrid Laurier University","Acadia University",6
"Wilfrid Laurier University","University of Ottawa",18
"Wilfrid Laurier University","Wilfrid Laurier University",13
"Wilfrid Laurier University","University of Regina",15
"Wilfrid Laurier University","University of Manitoba",20
"Wilfrid Laurier University","University of Toronto",171
"Wilfrid Laurier University","University of Waterloo",267
"Wilfrid Laurier University","â¦cole Polytechnique de MontrÃal",70
"Wilfrid Laurier University","University of Saskatchewan",30
"Wilfrid Laurier University","Royal Military College of Canada",19
"Wilfrid Laurier University","University of Guelph",64
"Wilfrid Laurier University","University of New Brunswick",99
"Wilfrid Laurier University","Institut national de la recherche scientifique",32
"Wilfrid Laurier University","University of Prince Edward Island",14
"Wilfrid Laurier University","Brock University",12
"Wilfrid Laurier University","Memorial University of Newfoundland",15
"Wilfrid Laurier University","Nova Scotia Community College - Annapolis",2
"Wilfrid Laurier University","Liidlii Kue First Nation",2
"Wilfrid Laurier University","NWT Environment and Natural Resources",3
"Wilfrid Laurier University","Indian and Northern Affairs Canada",6
"Wilfrid Laurier University","University of Western Ontario",54
"Wilfrid Laurier University","York University",43
"Wilfrid Laurier University","Simon Fraser University",49
"Wilfrid Laurier University","University of Victoria",26
"Wilfrid Laurier University","University of Winnipeg",4
"Wilfrid Laurier University","University of Northern British Columbia",8
"Wilfrid Laurier University","Okanagan University College",7
"Wilfrid Laurier University","Laurentian University of Sudbury",13
"Wilfrid Laurier University","UniversitÃ de Sherbrooke",75
"Wilfrid Laurier University","Fisheries and Oceans Canada",2
"Wilfrid Laurier University","Kelly Cove Salmon Ltd",2
"Wilfrid Laurier University","Shell Canada Ltd",2
"Wilfrid Laurier University","Suncor Energy Inc.",3
"Wilfrid Laurier University","Imperial Oil Resources Ltd",2
"Wilfrid Laurier University","ITF Labs",1
"Wilfrid Laurier University","Environment Canada",7
"Wilfrid Laurier University","Parks Canada Agency",4
"Wilfrid Laurier University","BC Hydro",4
"Wilfrid Laurier University","OCE Inc.",1
"Wilfrid Laurier University","American Petroleum Institute",1
"Wilfrid Laurier University","Chevron Energy Technology Company",1
"Wilfrid Laurier University","Arcadis Canada Inc.",1
"Wilfrid Laurier University","Golder Associates Ltd (CAN)",1
