,0
0,https://arxiv.org/abs/2006.13297
1,https://arxiv.org/abs/2109.13925
2,https://arxiv.org/abs/2106.08138
3,https://ml4physicalsciences.github.io/2021/files/NeurIPS_ML4PS_2021_38.pdf
4,https://iopscience.iop.org/article/10.1088/0256-307X/38/11/110301/meta
5,https://www.scipost.org/SciPostPhysCore.4.3.022
6,https://arxiv.org/abs/2112.02448
7,https://arxiv.org/abs/2012.03019
8,https://journals.jps.jp/doi/abs/10.7566/JPSJ.90.093001
9,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.105.165116
10,https://arxiv.org/abs/2203.15243
11,https://arxiv.org/abs/2201.06676
12,https://www.sciencedirect.com/science/article/pii/S1007570421003014
