"Parcel","TaxPayer","Address","City","State","Zip","Zip4","Phone","Email","SitusAddress","YearBuilt","AgentName""AgentContact","AgentAddress","AgentCity","AgentState","AgentZip","AgentZip4","AgentPhone","AgentEmail"
"30457582B","GATES STEVEN W & DEANNA K CP/RS","40 W TALLOWBERRY DR","THE WOODLANDS","TX","85614","1501","5203650794","gatess@q.com","1651 N RIO BUENA VISTA (PC)","2009","HORTON RICHARD","68 W CALLE BAYETA","SAHUARITA","AZ","85629","6632","5202075074","RLXHORTON@GMAIL.COM"
"101015630","WONG ANTHONY LW & ALICE V JT/RS","4947 KOLOHALA ST","HONOLULU","HI","96816","5126","8087379519","","2242 W LABRIEGO DR","1980","3D BROKERAGE","2101 N COUNTRY CLUB STE 103","TUCSON","AZ","85716","2845","5203251523","CONTACT@3DBKG.COM"
"101032500","GOULD REAL ESTATE LLC","7016 N NORTHLIGHT DR","TUCSON","AZ","85741","2750","5209094994","BMGINAZ@GMAIL.COM","6917 N GALAXY PL","1979","OWNER AGENT","","","  ","     ","    ","          ",""
"101033260","KISCHER ERIC","PO BOX 53742","LOS ANGELES","CA","90053","3742","2139230756","EKISCH@YAHOO.COM","3798 W HORIZON HILLS DR","1980","KISCHER C WARD","2365 W ORANGE GROVE RD APT 248","TUCSON","AZ","85741","3142","5202990521","WARDKISCHER@YAHOO.COM"
"101033960","RODRIGUEZ OSVALDO","2149 BLACKROCK AVE","BRONK","NY","10472","6201","9176269491","OSVALDO@US.IBM.COM","6801 N CAMINO DE LA TIERRA","1983","CENTURY 1ST  AMERICAN","8830 E SPEEDWAY BLVD","TUCSON","AZ","85710","1832","5208866023",""
"101038170","CONCOLINO CONSTANTINO L & TERESA JT/RS","9073 S OCOTILLO VISTA PL","VAIL","AZ","85641","2424","5202079082","IMCONZ@COX.NET","3656 W BRIARGATE DR","1980","OWNER AGENT","","","  ","     ","    ","          ",""
"101040720","AVILA MARIA DE LOURDES","3541 N BANNER MINE DR","TUCSON","AZ","85745","4103","5202291290","","3145 W CALLE TORONJA","1986","OWNER AGENT","","","  ","     ","    ","          ",""
"101042110","TRUDEAU DAVID L & PAMELA S CP\RS","1546 E SUNSET CIR","COTTONWOOD","AZ","86326","4883","9282022821","SOULROUND9@MSN.COM","3061 W GREEN RIDGE DR","1979","OWNER AGENT","","","  ","     ","    ","          ",""
"101042590","SELK ERIC & MELISSA C CP/RS","3024 W VERONA PL","TUCSON","AZ","85741","3008","2066372277","ericselk@comcast.net","3024 W VERONA PL","1979","","","","","","","",""
"101043570","GARCIA-SIMS ANGELA B 2011 REVOC TR","1 GINGERTREE LN","CORONADO","CA","92118","3203","6197092062","AGARCIASIM@AOL.COM","2910 W VERONA PL","1979","PRESTIGE PROPERTY MANAGEMENT INC 02","3205 E GRANT RD","TUCSON","AZ","85716","2809","5208810930","MELLISA@PRESTIGEPROPERTYMGMT.COM"
"101044420","HEYER JAVIER G SR & ROSARIO B JT/RS","4420 W INA RD","TUCSON","AZ","85741","2230","5204375032","JGHEYER1@GMAIL.COM","6920 N NORTHPOINT DR","1983","OWNER AGENT","","","  ","     ","    ","          ",""
"101045110","DE LA FUENTE HEIDI & DE LA FUENTE MARIO JT/RS","3319 W TREELINE DR","TUCSON","AZ","85741","2962","5200000000","","3319 W TREELINE DR","1984","TUCSON TERRITORY PROPERTY MANAGEMENT 01","7360 E 22ND ST STE 107","TUCSON","AZ","85710","6427","5207776507",""
"101048080","ARMSTRONG LIVING TR","7000 N CAMINO DE FOSFORO","TUCSON","AZ","85718","1014","5202191741","DAWN.DADESIGNS@GMAIL.COM","2971 W CALLE LUCINDA","1997","OWNER AGENT","","","  ","     ","    ","          ",""
"101080390","LANG TROY A & STEPHANIE JT/RS","45926 273RD ST","CHANCELLOR","SD","57015","5768","6059294311","","2970 W WILDWOOD DR","1989","PRESTIGE PROPERTY MANAGEMENT INC 02","3205 E GRANT RD","TUCSON","AZ","85716","2809","5208810930","MELLISA@PRESTIGEPROPERTYMGMT.COM"
"101091370","GUNKEL DEREK SCOTT & SUSANNA K JT/RS","6169 N PLACITA SAN AGUSTIN","TUCSON","AZ","85741","3695","5203318183","dscottg@email.arizona.edu","6169 N PLACITA SAN AGUSTIN","2004","NEW CONCEPT PROPERTY MANAGEMENT","7650 E BROADWAY BLVD STE 107","TUCSON","AZ","85710","3772","5205517247","DINO@NEWCONCEPTPROPERTIES.COM"
"10110206A","TUPPER NICK C","6361 N POMONA RD","TUCSON","AZ","85704","1046","5203434827","","2742 W RUDASILL RD","1976","PRESTIGE PROPERTY MANAGEMENT INC 02","3205 E GRANT RD","TUCSON","AZ","85716","2809","5208810930","MELLISA@PRESTIGEPROPERTYMGMT.COM"
"101102720","GREENOUGH PROPERTIES LLC","11109 N MOUNTAIN BREEZE DR","ORO VALLEY","AZ","85737","7067","5203452189","S.GREENOUGH@HOTMAIL.COM","6121 N CAMINO DONA CARLOTA","2000","OWNER AGENT","","","  ","     ","    ","          ",""
"101113220","HARPER SLATER W","1651 W HUDSON DR","TUCSON","AZ","85704","1501","5209041880","MEGHARPER77@YAHOO.COM","2795 W GRANDBROOK ST","1988","OWNER AGENT","","","  ","     ","    ","          ",""
"101113870","CARLSON FAMILY TR","3775 E POWELL WAY","GILBERT","AZ","85298","4815","5208873301","SLLJARLSON@YAHOO.COM","2820 W FIREBROOK RD","1990","OWNER AGENT","","","  ","     ","    ","          ",""
"101114180","MUNSON SURVIVORS TR","3002 W LIBERTY TREE LN","TUCSON","AZ","85741","1545","5202979918","JERRYMUNSON@GMAIL.COM","2580 W SUNSET RD","1990","OWNER AGENT","","","  ","     ","    ","          ",""
"101114820","HOCKENSMITH GREGORY & SHELLEY LIVING TR 2/3 &","5357 N CAMINO DE OESTE","TUCSON","AZ","85745","9704","5204014411","GREGHOCK@MSN.COM","5610 N BAYBROOK RD","1990","OWNER AGENT","","","  ","     ","    ","          ",""
"101115840","BOSHNAKOV KRASEN V","3821 W BARCELONA DR","CHANDLER","AZ","85226","1386","7125745117","KBOSHNAKOV@YAHOO.COM","5842 N ORANGETIP DR","2006","OWNER AGENT","","","  ","     ","    ","          ",""
