SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (5+ Unit),1112 Main St,Ashby,MA,01431,319900,6,5.0,Ashby,4158,43560,1935,1,77,,Active,May-7-2022 02:00 PM,May-7-2022 05:00 PM,https://www.redfin.com/MA/Ashby/1112-Main-St-01431/home/8406063,MLS PIN,72977292,N,Y,42.6801226,-71.8294998
MLS Listing,,Multi-Family (2-4 Unit),35 Shaw St,Lowell,MA,01851,749900,8,3.0,Lowell,3032,4184,2020,1,247,,Active,May-7-2022 01:30 PM,May-7-2022 04:00 PM,https://www.redfin.com/MA/Lowell/35-Shaw-St-01851/home/11629393,MLS PIN,72977265,N,Y,42.6311631,-71.3222894
MLS Listing,,Multi-Family (2-4 Unit),66 Main St,Lowell,MA,01852,400000,4,2.0,Lowell,1311,2000,1900,1,305,,Active,,,https://www.redfin.com/MA/Lowell/66-Main-St-01852/home/11638859,MLS PIN,72977208,N,Y,42.6265019,-71.3145875
MLS Listing,,Multi-Family (2-4 Unit),152 Grant St,Framingham,MA,01702,675000,4,2.5,Framingham,2085,5001,1914,1,324,,Active,May-6-2022 04:30 PM,May-6-2022 06:00 PM,https://www.redfin.com/MA/Framingham/152-Grant-St-01702/home/11596482,MLS PIN,72977167,N,Y,42.2832491,-71.4098753
MLS Listing,,Multi-Family (2-4 Unit),238 Everett St,Boston,MA,02128,899000,6,3.0,East Boston's Jeffries Point,1917,795,1900,1,469,,Active,,,https://www.redfin.com/MA/Boston/238-Everett-St-02128/home/9111386,MLS PIN,72977189,N,Y,42.3656426,-71.0301138
MLS Listing,,Multi-Family (2-4 Unit),38 Union St,Woburn,MA,01801,759900,6,2.0,Woburn,3300,5040,1860,1,230,,Active,May-7-2022 12:00 PM,May-7-2022 02:00 PM,https://www.redfin.com/MA/WOBURN/38-UNION-ST-01801/home/11816884,MLS PIN,72977105,N,Y,42.481316,-71.148581
MLS Listing,,Multi-Family (2-4 Unit),113 Washington St,Marlborough,MA,01752,619900,7,2.0,Marlborough,2010,5445,1880,1,308,,Active,May-6-2022 03:00 PM,May-6-2022 04:30 PM,https://www.redfin.com/MA/Marlborough/113-Washington-St-01752/home/11636515,MLS PIN,72977013,N,Y,42.3479437,-71.5508586
MLS Listing,,Multi-Family (2-4 Unit),78 Boisvert St,Lowell,MA,01850,649990,6,3.0,Lowell,3429,3600,1890,1,190,,Active,May-7-2022 10:00 AM,May-7-2022 01:00 PM,https://www.redfin.com/MA/Lowell/78-Boisvert-St-01850/home/11636954,MLS PIN,72977032,N,Y,42.6564119,-71.309855
MLS Listing,,Multi-Family (2-4 Unit),43 Wilcock St,Boston,MA,02124,899999,9,3.0,Dorchester,4692,4000,1910,1,192,,Active,May-7-2022 12:30 PM,May-7-2022 01:30 PM,https://www.redfin.com/MA/Boston/43-Wilcock-St-02124/home/9099972,MLS PIN,72976797,N,Y,42.2871507,-71.0928375
MLS Listing,,Multi-Family (2-4 Unit),31 Alaska St,Boston,MA,02119,999000,6,4.0,Roxbury,2574,4460,1889,1,388,,Active,May-8-2022 12:00 PM,May-8-2022 01:30 PM,https://www.redfin.com/MA/Boston/31-Alaska-St-02119/home/9291931,MLS PIN,72976787,N,Y,42.3207005,-71.0784455
MLS Listing,,Multi-Family (2-4 Unit),34 Salem St,Wakefield,MA,01880,799999,4,4.0,Wakefield,3386,6739,1790,1,236,,Active,,,https://www.redfin.com/MA/Wakefield/34-Salem-St-01880/home/8747628,MLS PIN,72975708,N,Y,42.5087842,-71.0681389
MLS Listing,,Multi-Family (2-4 Unit),115 Turner,Quincy,MA,02169,849000,4,2.0,Houghs Neck,2153,4500,1925,1,394,,Active,May-8-2022 01:00 PM,May-8-2022 03:00 PM,https://www.redfin.com/MA/Quincy/115-Turner-St-02169/home/11718194,MLS PIN,72976552,N,Y,42.2664819,-70.9516846
MLS Listing,,Multi-Family (2-4 Unit),179-181 Orange St,Boston,MA,02131,899000,5,2.0,Boston,2746,6601,1921,1,327,,Active,May-6-2022 05:00 PM,May-6-2022 07:00 PM,https://www.redfin.com/MA/Boston/179-Orange-St-02131/home/11734624,MLS PIN,72976449,N,Y,42.2799435,-71.1411584
MLS Listing,,Multi-Family (2-4 Unit),87 Independence St,Canton,MA,02021,849900,5,2.0,Canton,2678,17999,1920,1,317,,Active,May-7-2022 01:00 PM,May-7-2022 04:00 PM,https://www.redfin.com/MA/Canton/87-Independence-St-02021/home/11829415,MLS PIN,72976432,N,Y,42.1595018,-71.1344307
