SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,200 Claremont Rd,Ridgewood,NJ,07450,1200000,5,4.0,Ridgewood,,11238,,1,,,Active,May-14-2022 01:00 PM,May-14-2022 04:00 PM,https://www.redfin.com/NJ/Ridgewood/200-Claremont-Rd-07450/home/35841203,NJMLS,22015830,N,Y,40.9791967,-74.1356718
MLS Listing,,Single Family Residential,16 Stuyvesant Rd,Montvale,NJ,07645,748000,5,4.5,Montvale,,52999,,1,,,Active,May-8-2022 01:00 PM,May-8-2022 04:00 PM,https://www.redfin.com/NJ/Montvale/16-Stuyvesant-Rd-07645/home/35796005,NJMLS,22015829,N,Y,41.0525378,-74.0788915
MLS Listing,,Single Family Residential,65 Jacquelin Ave,Ho-ho-kus,NJ,07423,1450000,4,3.5,Ho-ho-kus,,54607,,1,,,Active,May-8-2022 01:00 PM,May-8-2022 04:00 PM,https://www.redfin.com/NJ/Ho-Ho-Kus/65-Jacquelin-Ave-07423/home/35767781,NJMLS,22015823,N,Y,41.0044211,-74.0905623
MLS Listing,,Single Family Residential,134 Wilbur Rd,Bergenfield,NJ,07621,659000,4,2.5,Bergenfield,,5001,,1,,,Active,May-8-2022 11:00 AM,May-8-2022 01:00 PM,https://www.redfin.com/NJ/Bergenfield/134-Wilbur-Rd-07621/home/35682017,NJMLS,22015816,N,Y,40.910294,-74.0082765
MLS Listing,,Single Family Residential,136 Kent St,Hackensack,NJ,07601,700000,4,2.5,Hackensack,,5001,,1,,,Active,May-15-2022 11:00 AM,May-15-2022 02:00 PM,https://www.redfin.com/NJ/Hackensack/136-Kent-St-07601/home/108170679,NJMLS,22015815,N,Y,40.8783476,-74.0600527
MLS Listing,,Single Family Residential,67 Harding Ave,Westwood,NJ,07675,499000,4,2.0,Westwood,,7749,,1,,,Active,,,https://www.redfin.com/NJ/Westwood/67-Harding-Ave-07675/home/35884694,NJMLS,22015808,N,Y,40.9978513,-74.0409136
MLS Listing,,Single Family Residential,712 Orangeburgh Rd,River Vale,NJ,07675,790000,5,3.5,River Vale,,10010,,1,,,Active,,,https://www.redfin.com/NJ/River-Vale/712-Orangeburgh-Rd-07675/home/35847743,NJMLS,22015790,N,Y,41.0363857,-74.0038923
MLS Listing,,Single Family Residential,238 S Central Ave,Ramsey,NJ,07446,2297000,5,3.5,Ramsey,,248292,,1,,,Active,,,https://www.redfin.com/NJ/Ramsey/238-S-Central-Ave-07446/home/40478101,NJMLS,22015785,N,Y,41.047901,-74.142231
MLS Listing,,Single Family Residential,90 Halifax Rd,Mahwah,NJ,07430,2250000,4,5.0,Mahwah,,465656,,1,,,Active,,,https://www.redfin.com/NJ/Mahwah/90-Halifax-Rd-07430/home/35668362,NJMLS,22015780,N,Y,41.0846142,-74.1824811
MLS Listing,,Single Family Residential,102 E Brinkerhoff Ave,Palisades Park,NJ,07650,1450000,6,3.5,Palisades Park,,7501,,1,,,Active,,,https://www.redfin.com/NJ/Palisades-Park/102-Brinkerhoff-Ave-07650/home/35817027,NJMLS,22015776,N,Y,40.8451282,-73.9957893
MLS Listing,,Single Family Residential,155 Cleenput Ter,Paramus,NJ,07652,1949000,6,5.5,Paramus,,15890,,1,,,Active,,,https://www.redfin.com/NJ/Paramus/155-Cleenput-Ter-07652/home/35818807,NJMLS,22015771,N,Y,40.9312353,-74.0623933
MLS Listing,,Single Family Residential,41 Sunset Rd,Demarest,NJ,07627,2895000,6,6.5,Demarest,,36590,,1,,,Active,May-14-2022 01:00 PM,May-14-2022 04:00 PM,https://www.redfin.com/NJ/Demarest/41-Sunset-Rd-07627/home/35697829,NJMLS,22015770,N,Y,40.947786,-73.9585526
MLS Listing,,Single Family Residential,449 Island Rd,Ramsey,NJ,07446,620000,4,2.0,Ramsey,,71438,,1,,,Active,,,https://www.redfin.com/NJ/Ramsey/449-Island-Rd-07446/home/35831983,NJMLS,22015753,N,Y,41.0700787,-74.1437917
MLS Listing,,Single Family Residential,115 Demarest Ave,Englewood Cliffs,NJ,07632,1449000,4,3.0,Englewood Cliffs,,15002,,1,,,Active,,,https://www.redfin.com/NJ/Englewood-Cliffs/115-Demarest-Ave-07632/home/35721125,NJMLS,22015749,N,Y,40.8855287,-73.9515728
MLS Listing,,Townhouse,222 Undercliff Ave,Edgewater,NJ,07020,1699000,4,4.0,Edgewater,,,,1,,,Active,,,https://www.redfin.com/NJ/Edgewater/222-Undercliff-Ave-07020/home/35711580,NJMLS,22015741,N,Y,40.8213913,-73.9795365
MLS Listing,,Single Family Residential,231 Kociemba Dr,River Vale,NJ,07675,725000,4,2.0,River Vale,,10376,,1,,,Active,May-7-2022 01:00 PM,May-7-2022 04:00 PM,https://www.redfin.com/NJ/River-Vale/231-Kociemba-Dr-07675/home/35849778,NJMLS,22015736,N,Y,40.9961605,-74.0143361
