,prices,address,beds,home_type,borough,zip_code,baths,sqft
0,"$725,000",231 Kociemba Dr,4.0,- sqft- House for sale, River Vale, NJ 07675,2.0,
1,"$199,000",2 Horizon UNIT G20,3.0,- sqft- Condo for sale, Fort Lee Boro, NJ 07024,3.0,
2,"$1,449,000",115 Demarest Ave,4.0,- sqft- House for sale, Englewood Cliffs, NJ 07632,3.0,
3,"$525,000",456 Linwood Ave,4.0,- sqft- House for sale, Ridgewood Village, NJ 07450-3420,2.0,
4,"$578,777",120 Harding Ave,4.0,- sqft- House for sale, Westwood, NJ 07675,2.0,
5,"$260,000",44 S Main St APT 3C,2.0,- sqft- Condo for sale, Lodi, NJ 07644,2.0,
6,"$269,000",1085 Stasia St,3.0,- sqft- House for sale, Teaneck, NJ 07666,2.0,
7,"$499,000",80 Iroquois Ave,3.0,- sqft- House for sale, Oakland Boro, NJ 07436-3744,3.0,
8,"$1,195,000",366 Beveridge Rd,5.0,- sqft- House for sale, Ridgewood Village, NJ 07450-1012,3.0,
9,"$849,000",47 Pierce Ave,3.0,- sqft- House for sale, Cresskill, NJ 07626,2.0,
10,"$899,000",307 Goffle Rd,4.0,- sqft- House for sale, Ridgewood Village, NJ 07450-4033,3.0,
11,"$489,000",418 Kaplan Ave,3.0,- sqft- House for sale, Hackensack, NJ 07601,2.0,
12,"$1,175,000",13 Swan Rd,4.0, House for sale, Mahwah Twp., NJ 07430-2046,4.0,3894.0
13,"$750,000",20 Hines Ave,3.0,- sqft- House for sale, Mahwah, NJ 07430,3.0,
14,"$579,000",561 Wittich Ter,3.0,- sqft- House for sale, River Vale, NJ 07675,2.0,
15,"$489,000",288 Mary St,4.0,- sqft- House for sale, Englewood City, NJ 07631-4129,2.0,
16,"$774,900",320 Rivervale Ave,4.0, House for sale, Norwood Boro, NJ 07648-1216,3.0,30000.0
17,"$899,000",7 Royal Park Ter,5.0,- sqft- House for sale, Hillsdale, NJ 07642,4.0,
18,"$674,900",216 Orchard Dr,4.0,- sqft- House for sale, Mahwah Twp., NJ 07430-1444,2.0,
19,"$600,000",0-23A Saddle River Rd,4.0,- sqft- House for sale, Fair Lawn, NJ 07410,2.0,
20,"$869,000",557 Forest Ct,4.0,- sqft- House for sale, River Vale, NJ 07675,4.0,
21,"$899,000",6 Danebury Downs,4.0,- sqft- House for sale, Saddle River, NJ 07458,3.0,
22,"$615,000",403 Grant Ave,4.0,- sqft- House for sale, Oradell, NJ 07649,2.0,
23,"$399,000",2077 Center Ave #A,4.0, Condo for sale, Fort Lee, NJ 07024,4.0,2446.0
24,"$828,000",414 Alpine Ter,5.0,- sqft- House for sale, Ridgewood Village, NJ 07450-1404,3.0,
25,"$499,999",54 Stockton St,3.0,- sqft- House for sale, Hillsdale Boro, NJ 07642-2324,2.0,
26,"$889,000",241 Northern Pkwy,4.0,- sqft- House for sale, Ridgewood, NJ 07450,3.0,
27,"$439,000",30 Bridge St,3.0,- sqft- House for sale, Bergenfield, NJ 07621,3.0,
28,"$469,000",236 Baldwin Ave,4.0,- sqft- House for sale, Hasbrouck Heights, NJ 07604,3.0,
29,"$364,900",231 Hamilton Pl,4.0,- sqft- House for sale, Hackensack, NJ 07601,1.0,
30,"$250,000",265 Collignon Way APT 1A,1.0,- sqft- Condo for sale, River Vale, NJ 07675,1.0,
31,"$538,000",771 Ravenhill Pl,4.0,- sqft- House for sale, Ridgefield, NJ 07657,4.0,
32,"$700,000",930 Blanch Ave,3.0,- sqft- House for sale, Norwood, NJ 07648,2.0,
33,"$689,000",85 Abbey Ct,4.0,- sqft- House for sale, Ramsey, NJ 07446,3.0,
34,"$399,000",109 E Johnson Ave,2.0,- sqft- House for sale, Bergenfield, NJ 07621,2.0,
35,"$1,250,000",7 Kristin Pl,6.0,- sqft- House for sale, Old Tappan, NJ 07675,5.0,
36,"$439,000",231 Murray Hill Ter,3.0,- sqft- House for sale, Bergenfield, NJ 07621,2.0,
